"search_timestamp","org_list__auth_type","org_list__address","org_list__domain_ip_cnt","org_list__np_time_list__np_time","org_list__corp_regno","org_list__org_type","org_list__relay_org_code","org_list__industry","org_list__np_time_cnt","org_list__ip_list__ip","org_list__cert_oid","org_list__cert_issuer_dn","org_list__serial_num","org_list__ip_cnt","org_list__domain_ip_list__domain_ip","org_list__domain","org_list__op_type","org_list__is_rcv_org","org_list__org_name","org_list__org_regno","org_list__org_code","rsp_code","org_cnt","rsp_msg"
"","01","(31156) 충청남도 천안시 서북구 불당21로 67-12 (불당동, 퍼스트프라자) 2층","","0100:0400","1644110000185","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","상상인플러스저축은행","309-81-00037","A3AAMN0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(31507) 충청남도 아산시 시민로 381 (온천동, 아산상호저축은행)","","0100:0400","1648110000905","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","(주)아산저축은행","312-81-02986","A3AAMO0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(35241) 대전광역시 서구 둔산남로 103 (둔산동) 오투저축은행","","0100:0400","1648110013461","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","오투저축은행","312-81-32461","A3AAMP0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(55000) 전라북도 전주시 완산구 현무2길 70 (경원동3가)","","0100:0400","2111110026741","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","삼호저축은행","401-81-36471","A3AAMQ0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(61472) 광주광역시 동구 중앙로 199 (금남로4가, 창업상호저축은행) 스마트저축은행","","0100:0400","2001110000748","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","스마트저축은행","408-81-00315","A3AAMR0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(61471) 광주광역시 동구 금남로 167 (금남로5가)","","0100:0400","2001110000699","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","(주)센트럴저축은행","408-81-05101","A3AAMS0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(61480) 광주광역시 동구 중앙로 165 (충장로4가) 더블저축은행 본점","","0100:0400","2042110000247","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","더블저축은행","408-81-07152","A3AAMT0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(61475) 광주광역시 동구 중앙로 198 (금남로3가) 신동해빌딩 1층","","0100:0400","2042110000304","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","(주)동양저축은행","408-81-16364","A3AAMV0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
